 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8087.333333	33.33875839	0.416993978	0.261450329
8087.416667	33.34064246	0.416699339	0.261232659
8087.5	33.35236984	0.415631639	0.244609486
8087.583333	33.36948488	0.415349212	0.244747018
8087.666667	33.39467035	0.414308239	0.231326933
8087.75	33.41811406	0.414031272	0.231514277
8087.833333	33.44531413	0.413162946	0.22044294
8087.916667	33.46737924	0.412890153	0.220603049
8088	33.51627478	0.41161953	0.211037814
8088.083333	33.57900626	0.410487148	0.221675876
8088.166667	33.63877557	0.409977699	0.221574298
8088.25	33.67575282	0.408905595	0.235152345
8088.333333	33.70043757	0.408532781	0.234894044
8088.416667	33.73001243	0.407601245	0.247270194
8088.5	33.76709407	0.407249249	0.247292904
8088.583333	33.79626098	0.406250858	0.26351649
8088.666667	33.82817014	0.405906358	0.263436982
8088.75	33.86498873	0.404939547	0.280495848
8088.833333	33.90597102	0.404390413	0.290044443
8088.916667	33.91603471	0.403539455	0.301244068
8089	33.86278524	0.403079622	0.300842101
8089.083333	33.79874812	0.402194767	0.283846468
8089.166667	33.79105012	0.401415813	0.266294493
8089.25	33.81124434	0.400794066	0.255504758
8089.333333	33.84035794	0.40030846	0.246495288
8089.416667	33.87949949	0.399706519	0.237553616
8089.5	33.91651306	0.399472995	0.237423692
8089.583333	33.98399299	0.398373339	0.220764371
8089.666667	34.05098295	0.398164947	0.22121614
8089.75	34.1045318	0.397614955	0.212210752
8089.833333	34.20473417	0.397084987	0.211887633
8089.916667	34.37051228	0.3960211	0.228166862
8090	34.5283926	0.394883489	0.259129304
8090.083333	34.61341021	0.394059924	0.283012341
8090.166667	34.60326879	0.393433431	0.302150353
8090.25	34.56314983	0.393088538	0.301392579
8090.333333	34.54453045	0.392719773	0.289271392
8090.416667	34.55688441	0.392538784	0.289082384
8090.5	34.59079144	0.392077323	0.274193852
8090.583333	34.6426921	0.391995064	0.274220311
8090.666667	34.70710519	0.391563369	0.262839692
8090.75	34.7873621	0.391488409	0.262867199
8090.833333	34.86882464	0.391090617	0.253380795
8090.916667	34.94539889	0.391023074	0.253457012
8091	35.01109384	0.390952435	0.253085726
8091.083333	35.09418751	0.390445855	0.240592279
8091.166667	35.19882652	0.390331191	0.240943698
8091.25	35.28290267	0.390273628	0.240756559
8091.333333	35.3645059	0.389980551	0.232463915
8091.416667	35.46035554	0.389882749	0.232653666
8091.5	35.54118867	0.389835427	0.232469629
8091.583333	35.63107176	0.389642156	0.224227096
8091.666667	35.73689869	0.389571698	0.224557829
8091.75	35.82353429	0.389536676	0.224448159
8091.833333	35.8968823	0.389430046	0.22379754
8091.916667	36.00225283	0.389335858	0.223714371
8092	36.14315905	0.389274565	0.224103883
8092.083333	36.25404502	0.389185092	0.237469109
8092.166667	36.33343824	0.389149729	0.236967848
8092.25	36.44089702	0.389126265	0.237313984
8092.333333	36.53511681	0.389128945	0.250638038
8092.416667	36.61206704	0.389121637	0.250339206
8092.5	36.71347368	0.389135542	0.250764506
8092.583333	36.81520695	0.389239018	0.267036003
8092.666667	36.89070536	0.389258079	0.266707903
8092.75	36.96896147	0.389322702	0.276278543
8092.833333	37.05472223	0.389377379	0.276477411
8092.916667	37.12744781	0.389527726	0.291183035
8093	37.19904343	0.389574056	0.291226424
8093.083333	37.27056518	0.38975703	0.306041203
8093.166667	37.34154938	0.389819016	0.306184987
8093.25	37.41842808	0.390042576	0.323316704
8093.333333	37.45088312	0.390227569	0.334839956
8093.416667	37.44356891	0.390287294	0.334640253
8093.5	37.42411207	0.390333627	0.334243433
8093.583333	37.40418865	0.390390539	0.321329216
8093.666667	37.40376408	0.390471497	0.310403862
