 TIME                    	Wet                      	T_tower                  	T_ch                     	flow_ch                  	T_To_tower               	T_ch_r                   	T_sf                     	Td                       	Q_IT                     	PUE                      
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	Unit10              
8027.416667	-0.589552335	8.15082768	11.82745645	45000	12.12536071	14.42198998	18.30342997	13.5018158	365683.4201	1.127880057
8027.5	-0.497282163	8.093178532	11.86526647	45000	12.22106688	14.44719347	18.32560123	13.48939942	365327.3641	1.12720121
8027.583333	-0.410545613	8.041997954	11.85450847	45000	12.2154784	14.45976818	18.33767787	13.47919068	364992.683	1.127298817
8027.666667	-0.329175712	7.999702687	11.8455391	45000	12.21096773	14.4501569	18.32984767	13.48505166	364678.2994	1.127387993
8027.75	-0.251669712	7.960416004	11.84501225	45000	12.25978574	14.43653566	18.31599346	13.48451101	364383.1655	1.126770031
8027.833333	-0.177970131	7.919982094	11.88372843	45000	12.35324565	14.47061275	18.33864463	13.44529398	364106.2657	1.126142288
8027.916667	-0.107855006	7.883209233	11.88484062	45000	12.36010672	14.47130139	18.33882368	13.44311361	363846.6177	1.126215832
8028	-0.039892533	7.853118288	11.87599905	45000	12.35479606	14.47224823	18.33953894	13.44219844	363603.2741	1.126283975
8028.083333	0.028503949	7.821501088	11.86786773	45000	12.3497415	14.46391608	18.33199863	13.4448381	363375.3234	1.126345603
8028.166667	0.094481234	7.787788425	11.83466316	45000	12.31854724	14.42573951	18.29860002	13.46147311	363161.8903	1.126401101
8028.25	0.156922656	7.753456721	11.84280552	45000	12.38157141	14.42781888	18.29334637	13.4367678	362962.1363	1.125695725
8028.333333	0.215250908	7.715941123	11.93178548	45000	12.53474256	14.49237987	18.34094158	13.38820238	362775.2594	1.12502332
8028.416667	0.26898787	7.680916398	11.92248738	45000	12.52987534	14.50783394	18.35800549	13.38316419	362600.4943	1.12507388
8028.5	0.318594556	7.651412692	11.92044784	45000	12.53250232	14.50065918	18.35408024	13.39405877	362437.1119	1.125119236
8028.583333	0.363572018	7.626376876	11.9088991	45000	12.52356265	14.49916507	18.35341121	13.39688231	362284.4184	1.125160651
8028.666667	0.403532887	7.604934793	11.90029153	45000	12.51763195	14.48863042	18.34442397	13.40216475	362141.7553	1.125196988
8028.75	0.438783503	7.586471915	11.88834331	45000	12.50750552	14.46971482	18.32800017	13.41075845	362008.498	1.125228875
8028.833333	0.468912484	7.570232176	11.872294	45000	12.49247015	14.45390585	18.31254974	13.41215808	361884.0549	1.125256032
8028.916667	0.493630404	7.551601377	11.89308119	45000	12.55722474	14.4599875	18.31320657	13.39376024	361767.8669	1.124695722
8029	0.513071815	7.531090947	11.89343325	45000	12.56179272	14.46801472	18.31654523	13.37765582	361659.4057	1.124717878
8029.083333	0.542038646	7.513310483	11.89303198	45000	12.56504132	14.46759953	18.31499147	13.37364255	361558.1729	1.124737603
8029.166667	0.580361846	7.498294123	11.88888387	45000	12.5635361	14.46674746	18.31346546	13.37130467	361463.6992	1.124754949
8029.25	0.613826611	7.485708563	11.88486679	45000	12.5618249	14.46256716	18.30924483	13.37115299	361375.5426	1.124769531
8029.333333	0.642406058	7.475074934	11.87974384	45000	12.55856894	14.45836482	18.30476572	13.37022731	361293.2876	1.124781509
8029.416667	0.666187117	7.461943497	11.91043015	45000	12.6313788	14.47487138	18.31607019	13.35246169	361216.5439	1.124241652
8029.5	0.685659292	7.446796305	11.91956609	45000	12.64534078	14.4796442	18.31957277	13.34793808	361144.9452	1.124253497
8029.583333	0.700879484	7.433753508	11.92019358	45000	12.64885031	14.48790868	18.32652448	13.34335627	361078.1481	1.124265
8029.666667	0.712003095	7.422391403	11.92201602	45000	12.65351582	14.48884087	18.32793165	13.34487608	361015.8308	1.124275054
8029.75	0.719367642	7.41233426	11.92042358	45000	12.65396448	14.49070271	18.32985609	13.34505299	360957.6919	1.124283933
8029.833333	0.723102619	7.403230819	11.91916103	45000	12.65467351	14.4893989	18.32899506	13.34653382	360903.4498	1.124291245
8029.916667	0.723422288	7.394817944	11.91645706	45000	12.65359839	14.48820556	18.32790842	13.34689547	360852.8407	1.124297128
8030	0.720534357	7.38685891	11.91377531	45000	12.65250676	14.48559691	18.32544718	13.3474012	360805.6187	1.12430146
8030.083333	0.71845824	7.379235721	11.91043891	45000	12.65063185	14.4828841	18.32268893	13.3472618	360761.5538	1.124304321
8030.166667	0.717111865	7.371909386	11.90708024	45000	12.64871481	14.47950369	18.31924386	13.34706067	360720.4315	1.124305692
8030.25	0.712602954	7.364782335	11.90347521	45000	12.64649585	14.47603292	18.31560462	13.34651189	360682.0518	1.124305638
8030.333333	0.704878048	7.357697638	11.89983673	45000	12.64426398	14.47229642	18.31167045	13.34586575	360646.2282	1.124304188
8030.416667	0.693958895	7.350516264	11.89605684	45000	12.64191536	14.46849821	18.30763145	13.34507549	360612.7868	1.124301397
8030.5	0.679664135	7.343108769	11.89219331	45000	12.63953987	14.46455637	18.30344546	13.3442753	360581.5659	1.124297299
8030.583333	0.661995256	7.335354791	11.88817241	45000	12.63707224	14.46052965	18.29917248	13.34346999	360552.4148	1.124291934
8030.666667	0.641032732	7.32714525	11.88398293	45000	12.6345194	14.45635798	18.29477329	13.34273025	360525.1932	1.124285328
8030.75	0.616475554	7.314264882	11.91646566	45000	12.70780069	14.47414126	18.30735064	13.32496332	360499.7707	1.123746603
8030.833333	0.588383098	7.297418972	11.9266021	45000	12.72324256	14.48044404	18.312497	13.3208293	360476.0259	1.123742808
8030.916667	0.556895547	7.281024433	11.92731621	45000	12.72748505	14.48993029	18.32100349	13.31738133	360453.8461	1.123739925
8031	0.521588028	7.376226966	12.00030382	45000	12.79830152	14.55611439	18.37581811	13.27804075	360433.1264	1.123722051
8031.083333	0.493745298	7.575149829	12.17568564	45000	12.97014962	14.71762802	18.51647345	13.21370272	360413.7695	1.12372874
8031.166667	0.472073557	7.772847606	12.26933363	45000	12.9953784	14.82780574	18.63136599	13.21877261	360395.6849	1.124564257
8031.25	0.445020421	7.975179053	12.24560444	45000	12.85696757	14.80792692	18.63400711	13.29587325	360378.7885	1.125841522
8031.333333	0.412893646	8.180302242	12.27854527	45000	12.79252383	14.85138187	18.67789625	13.29710135	360363.0025	1.127006494
8031.416667	0.376121736	8.386210756	12.29285521	45000	12.70110303	14.86801675	18.698125	13.30926806	360348.2544	1.128326713
8031.5	0.334470529	8.59144093	12.32697235	45000	12.6333297	14.89981518	18.72787924	13.30210217	360334.4772	1.129714252
8031.583333	0.288343271	8.794847562	12.35386331	45000	12.5556302	14.92189117	18.75058744	13.30388567	360321.6085	1.131262646
8031.666667	0.238248963	8.863074184	12.28089132	45000	12.38142251	14.86253071	18.70498611	13.3514951	360309.5906	1.132942
8031.75	0.183802079	8.808171012	12.13699198	45000	12.16377706	14.7344347	18.59379451	13.41091483	360298.37	1.134272421
8031.833333	0.125491275	8.757125874	12.08367509	45000	12.10937143	14.66527556	18.52403859	13.40217692	360287.897	1.134295926
8031.916667	0.063896923	8.70503529	12.01451813	45000	12.03944298	14.59456917	18.45094312	13.40254564	360278.1259	1.134311541
8032	-0.001496475	8.660569721	11.95645019	45000	11.98122942	14.54577155	18.39952783	13.39405927	360269.0141	1.134317015
8032.083333	-0.066194775	8.624021022	11.93474275	45000	11.95991464	14.51872129	18.36767526	13.37799832	360260.5222	1.13431395
8032.166667	-0.143074222	8.586206437	11.88646326	45000	11.91203544	14.47224876	18.32193346	13.38093888	360252.6139	1.13430756
8032.25	-0.236267245	8.546569782	11.8700136	45000	11.89663354	14.44486321	18.29338531	13.3666377	360245.2556	1.134294056
8032.333333	-0.341623882	8.504557919	11.80916315	45000	11.83659728	14.39515408	18.24346483	13.37709766	360238.4163	1.134278004
8032.416667	-0.454614532	8.456093958	11.80455226	45000	11.88089259	14.37470608	18.21840069	13.36183061	360232.0673	1.133379133
8032.5	-0.572429792	8.398988389	11.79801301	45000	11.92641576	14.36531842	18.20364197	13.34361034	360226.1824	1.132458284
8032.583333	-0.690381196	8.334755712	11.81234023	45000	11.99792124	14.37335424	18.20666807	13.32630721	360220.7372	1.131506361
8032.666667	-0.803740208	8.264758979	11.82434064	45000	12.06602956	14.38343746	18.21387881	13.31637249	360215.7096	1.130621923
8032.75	-0.909718532	8.189861666	11.83600568	45000	12.13314887	14.39303257	18.22185624	13.31072688	360211.079	1.129793993
8032.833333	-1.003436858	8.110991334	11.84653761	45000	12.19817673	14.40291468	18.23078862	13.30736713	360206.8269	1.129020998
8032.916667	-1.080254474	8.029135941	11.85661817	45000	12.26180271	14.412632	18.23998888	13.30548605	360202.9362	1.128297598
8033	-1.136813092	7.945339994	11.86636011	45000	12.32389592	14.42220233	18.24930053	13.30449014	360199.3914	1.127621671
8033.083333	-1.162303511	7.864311431	11.84610542	45000	12.31182866	14.40995596	18.24183946	13.32075065	360196.1784	1.127603683
8033.166667	-1.173069732	7.784512528	11.81628257	45000	12.33398408	14.37550715	18.21394671	13.34356411	360193.2848	1.126877854
8033.25	-1.181701106	7.701422326	11.85588491	45000	12.44440611	14.41240936	18.23979384	13.31533458	360190.6991	1.126011049
8033.333333	-1.188645464	7.617018595	11.89594457	45000	12.54502522	14.4518037	18.27551114	13.29260121	360188.4112	1.125331175
8033.416667	-1.194397852	7.536216579	11.88559412	45000	12.54627904	14.45606684	18.28231045	13.30111962	360186.4124	1.125316978
8033.5	-1.199557432	7.461696171	11.83584337	45000	12.50120601	14.41437529	18.25258981	13.33112981	360184.6948	1.125301201
8033.583333	-1.204629139	7.386204978	11.83008217	45000	12.55463925	14.38858843	18.22634215	13.34122961	360183.2519	1.124526359
