48611	14056	16382		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 35 [C]		
47566	14085	17280		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 37.78 [C]		
46517	13918	18122		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 40.56 [C]		
44511	13939	20081		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 46.11 [C]		
49920	16662	15022		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 29.44 [C]		
49137	16649	15778		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 32.22 [C]		
48611	16556	16382		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 35 [C]		
47566	16634	17280		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 37.78 [C]		
46517	16720	18122		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 40.56 [C]		
44511	16563	20081		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],23.33 [C], and 46.11 [C]		
49920	19002	15022		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 29.44 [C]		
49137	19031	15778		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 32.22 [C]		
48611	19237	16382		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 35 [C]		
47566	19372	17280		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 37.78 [C]		
46517	19523	18122		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 40.56 [C]		
44511	19495	20081		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],24.44 [C], and 46.11 [C]		
49920	21615	15022		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 29.44 [C]		
49137	21960	15778		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 32.22 [C]		
48611	21919	16382		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 35 [C]		
47566	22113	17280		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 37.78 [C]		
46517	22130	18122		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 40.56 [C]		
44511	22521	20081		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],25.56 [C], and 46.11 [C]		
49920	24314	15022		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 29.44 [C]		
49137	24428	15778		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 32.22 [C]		
48611	24413	16382		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 35 [C]		
47566	24668	17280		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 37.78 [C]		
46517	24935	18122		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 40.56 [C]		
44511	25449	20081		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],26.67 [C], and 46.11 [C]		
39886	39672	18055		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 920 (l/s), 15 [C],22.22 [C], and 29.44 [C]		
39623	39935	18817		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 920 (l/s), 15 [C],22.22 [C], and 32.22 [C]		
39360	39864	19588		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 920 (l/s), 15 [C],22.22 [C], and 35 [C]		
