2000	4840	7680	!Air Flow Rate (l/s)			
274267	145299	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],26.67 [C], and 35 [C]"			
268367	143655	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],26.67 [C], and 37.78 [C]"			
262450	142010	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],26.67 [C], and 40.56 [C]"			
251133	138689	109430	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],26.67 [C], and 46.11 [C]"			
225033	193726	88166	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 29.44 [C]"			
223550	193726	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 32.22 [C]"			
222067	192098	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 35 [C]"			
218134	190454	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 37.78 [C]"			
213717	188793	101143	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 40.56 [C]"			
206333	185489	107882	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],22.22 [C], and 46.11 [C]"			
225033	211347	88166	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 29.44 [C]"			
223550	209719	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 300 (l/s), 15 [C],23.33 [C], and 32.22 [C]"			
