963	1100	1148	!Air flow rate (l/s)													
63844	18061		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 19.44 [C]													
67039	17296		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 22.22 [C]													
19570	45680		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -19.44 [C]													
22672	41998		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -16.67 [C]													
26158	38139		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -13.89 [C]													
29260	36085		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -11.11 [C]													
32648	34124		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -8.33 [C]													
36619	31308		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -5.56 [C]													
40881	28999		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and -2.78 [C]													
45434	26947		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 0 [C]													
49696	25288		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 2.78 [C]													
53668	24140		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 5.56 [C]													
50861	22672		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 8.33 [C]													
53668	21605		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 11.11 [C]													
56766	20542		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 13.89 [C]													
59872	19583		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 16.67 [C]													
62777	18779		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 19.44 [C]													
65879	17996		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 23.89 [C], and 22.22 [C]													
18990	48098		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -19.44 [C]													
22476	42945		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -16.67 [C]													
25578	40013		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -13.89 [C]													
28966	37122		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -11.11 [C]													
32063	35359		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -8.33 [C]													
36035	32538		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -5.56 [C]													
40301	30056		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and -2.78 [C]													
44563	28058		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 0 [C]													
48825	26403		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 2.78 [C]													
52798	25031		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 5.56 [C]													
49991	23582		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 8.33 [C]													
52798	22454		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 11.11 [C]													
55900	21322		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 13.89 [C]													
58806	20377		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 16.67 [C]													
61612	19556		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 19.44 [C]													
64710	18719		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 26.67 [C], and 22.22 [C]													
