3238	3700	3861	!Air Flow Rate (l/s)													
157424	66070	61327		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 40.56 [C]												
150637	65975	67957		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 46.11 [C]												
168940	73151	50838		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 29.44 [C]												
166291	74319	53396		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 32.22 [C]												
164511	74178	55440		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 35 [C]												
160972	74836	58479		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 37.78 [C]												
157424	74892	61327		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 40.56 [C]												
150637	76216	67957		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],25.56 [C], and 46.11 [C]												
168940	82284	50838		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 29.44 [C]												
166291	82669	53396		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 32.22 [C]												
164511	82620	55440		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 35 [C]												
160972	83481	58479		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 37.78 [C]												
157424	84387	61327		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 40.56 [C]												
150637	86127	67957		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],26.67 [C], and 46.11 [C]												
