262.5	300	312.6	!Air flow rate (l/s)													
8074	5136	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -5.56 [C]														
9030	5306	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -2.78 [C]														
9985	5477	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 0 [C]														
10940	5647	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 2.78 [C]														
11830	5789	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 5.56 [C]														
11201	5164	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 8.33 [C]														
11830	5193	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 11.11 [C]														
12525	5221	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 13.89 [C]														
13176	5249	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 16.67 [C]														
13805	5278	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 19.44 [C]														
14499	5306	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and 22.22 [C]														
