   329
  6515  9343 13063 17032 20233 22502 21793 19691 15926 12336  7746  5660
    31    34    39    52   101   132   147   139   124    65    35    31
    .3   2.2   6.8  13.7  18.7  23.7  25.4  24.6  20.6  14.6   7.2   1.8
    72FAIRBANKS       AK        64.82       .00       .00
   342  2513  7651 13549 18199 19882 17506 12688  8051  3321   841    28
     4     7    14    27    35    60    77   107    43    27    16     8
 -24.4 -19.2 -12.5  -1.7   8.5  15.0  15.9  13.0   6.9  -3.8 -16.2 -23.6
    73FARGO           ND        46.90       .00       .00
  4709  8009 12460 16748 20822 22629 24059 20715 14796  9917  5190  3828
    10    10    31    31    52    88   108    88    66    44    31    10
 -14.5 -11.8  -4.3   5.7  12.6  18.2  21.5  20.7  14.4   8.3  -1.9 -10.6
    74FARMINGTON      NM        36.75       .00       .00
 10719 14537 19218 24206 27823 30251 28125 25559 21952 16782 11885  9500
    27    27    28    28    34    44    71    83    55    36    27    27
  -1.9   1.7   4.8   9.8  15.3  19.9  23.9  22.6  18.1  11.6   4.0  -1.1
    75FLINT           MI        42.97       .00       .00
  4348  7223 10859 15196 18818 20579 20392 17647 13568  9406  4872  3506
    31    24    31    39    60   101   117   108   108    62    43    24
  -5.4  -4.6    .3   7.7  13.2  18.8  20.9  20.1  16.1  10.7   3.5  -2.9
    76FORT SMITH      AR        35.33       .00       .00
  8440 11337 14886 18339 21700 23713 23439 21307 17040 13627  9663  7735
    34    39    44    82   114   147   159   159   132    88    52    34
   3.9   6.3  10.2  16.8  21.2  25.6  27.9  27.4  23.3  17.3  10.2   5.3
    77FORT WAYNE      IN        41.00       .00       .00
  5166  7917 11145 15442 18974 20901 20280 18094 14454 10489  5860  4193
    31    31    31    39    88   101   124   124   101    57    34    31
  -3.7  -2.4   2.5   9.6  15.3  20.8  22.8  21.8  18.1  12.0   4.6  -1.9
    78FORT WORTH      TX        32.83       .00       .00
  9139 12136 15993 18345 21454 24434 24459 22502 18400 14673 10645  8690
    39    35    48    94   117   143   147   144   135    94    52    39
   7.1   9.3  12.8  18.4  22.5  27.0  29.3  29.4  25.4  19.8  13.2   8.8
    79FRESNO          CA        36.77       .00       .00
  7453 11489 17770 23749 28189 31014 30473 27502 22529 16220 10084  6516
    48    62    57    57    66    78    77    78    77    71    62    48
   7.4   9.9  12.2  15.7  19.7  23.3  27.0  25.7  23.2  17.9  11.9   7.7
    80GLASGOW         MT        48.22       .00       .00
  4403  7618 12540 16888 20743 23232 24888 21142 15212  9957  5433  3794
    10    22    27    31    44    66    77    66    48    35    27    24
 -12.7  -9.3  -3.8   6.0  12.3  16.7  21.4  20.6  14.0   8.0  -1.7  -8.3
    81GOODLAND        KS        39.37       .00       .00
  8959 11981 16159 20761 23397 26746 26324 23215 18641 14391  9721  7884
    27    24    27    39    62    88   108   101    71    41    27    24
  -2.4   -.3   2.4   9.3  14.9  20.6  24.3  23.4  17.9  11.6   3.6  -1.1
    82GRAND ISLAND    NE        40.97       .00       .00
  7505 10407 14359 19207 22377 25448 25145 22011 17130 12911  8381  6462
    24    31    31    44    77   104   124   124    82    47    27    27
  -5.4  -2.4   1.9   9.9  15.9  21.5  24.6  23.9  18.0  12.1   3.4  -2.8
    83GRAND JUNCTION  CO        39.12       .00       .00
  8980 12699 17630 22543 27008 29490 27977 24763 20818 15264 10419  8300
    21    24    24    25    30    32    54    64    44    29    27    21
  -3.0    .9   5.1  10.9  16.8  21.8  25.9  24.1  19.6  12.7   4.3  -1.4
    84GRAND RAPIDS    MI        42.88       .00       .00
  4194  7357 11512 16024 19920 22204 21726 19024 14324  9735  5058  3526
    31    31    31    34    66   101   117   117    88    62    39    27
  -4.9  -4.2    .6   8.1  13.9  19.7  21.9  21.1  16.9  11.1   3.7  -2.6
    85GREAT FALLS     MT        47.48       .00       .00
  4772  8173 13283 16895 20968 23849 26432 21937 15644 10493  5647  3815
    10    22    27    31    44    66    77    66    48    35    27    24
  -6.4  -3.0   -.8   6.3  11.8  16.0  20.7  19.7  14.1   9.1   1.4  -3.1
    86GREEN BAY       WI        44.48       .00       .00
  5121  8227 12532 16327 19512 21652 21432 18406 13823  9313  5278  3969
    27    24    31    35    62   101   117   114    77    50    31    31
