01 08 6 0 0 0 4.9 -10 61 1 10278 6 34
01 08 7 22 19 3 5.1 -7.1 60 3 10279 7 35
01 08 8 117 58 58 5.4 -4.3 59 5 10279 7 35
01 08 9 214 103 111 6 -2.8 56 6 10278 6 36
01 08 10 342 247 94 7.4 -1.4 52 6 10275 5 35
01 08 11 319 153 167 9.4 0.6 47 6 10273 4 35
01 08 12 319 153 167 11.6 2.1 47 5 10269 3 34
01 08 13 244 78 167 13 2.4 49 4 10263 2 27
01 08 14 194 72 122 13.1 1.3 51 3 10258 1 19
01 08 15 125 72 53 11.6 -1.3 57 2 10257 2 12
01 08 16 25 22 25 9.4 -4.7 64 1 10258 3 20
01 08 17 0 0 0 7.3 -8 72 0 10259 4 28
01 08 18 0 0 0 6.1 -9.8 73 0 10260 4 36
01 08 19 0 0 0 5.7 -10.2 73 0 10260 5 36
01 08 20 0 0 0 5.8 -10.2 72 0 10261 5 36
01 08 21 0 0 0 5.9 -10.3 71 0 10260 5 36
01 08 22 0 0 0 5.8 -10.5 70 0 10259 5 36
01 08 23 0 0 0 5.4 -10.9 68 0 10257 5 36
01 09 0 0 0 0 5.2 -11.2 68 0 10257 5 36
01 09 1 0 0 0 5 -11.5 67 0 10257 5 36
01 09 2 0 0 0 4.9 -11.6 67 0 10256 6 36
01 09 3 0 0 0 4.7 -11.3 66 0 10255 6 36
01 09 4 0 0 0 4.5 -9.7 66 2 10252 6 36
01 09 5 0 0 0 4.2 -8.3 67 3 10249 6 36
01 09 6 0 0 0 4 -6.9 67 4 10248 6 36
01 09 7 8 3 6 4.1 -5.5 66 5 10251 6 36
01 09 8 33 3 31 4.6 -3.8 65 6 10254 6 36
01 09 9 69 3 67 5.2 -2.3 63 7 10255 6 36
01 09 10 108 3 106 6.1 -1.4 61 7 10252 5 36
01 09 11 183 14 169 7.2 -0.3 59 7 10249 5 36
01 09 12 328 167 161 8.5 0.8 58 7 10246 4 36
01 09 13 319 200 119 10 1.2 60 6 10241 4 31
01 09 14 236 142 94 11 1.1 61 5 10237 3 27
01 09 15 108 42 67 11.1 0 63 4 10233 3 22
01 09 16 14 8 6 10.1 -2.6 69 2 10233 3 27
01 09 17 0 0 0 8.3 -6.1 74 1 10233 3 31
01 09 18 0 0 0 6.5 -9.1 78 0 10234 3 36
01 09 19 0 0 0 5.4 -10.2 80 0 10235 3 36
01 09 20 0 0 0 5.1 -10.5 81 0 10237 4 36
01 09 21 0 0 0 5.4 -10.3 82 0 10237 4 36
